v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,13662,0x8f9d5b9c960,40,LoadIC_Slow
code-creation,Builtin,3,13730,0x8f9d5b9c9e0,16,LoadIC_StringLength
code-creation,Builtin,3,13809,0x8f9d5b9ca40,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,13914,0x8f9d5b9caa0,3040,LoadIC_Uninitialized
code-creation,Builtin,3,14005,0x8f9d5b9d6c0,44,StoreGlobalIC_Slow
code-creation,Builtin,3,14098,0x8f9d5b9d740,6672,StoreIC_Uninitialized
code-creation,Builtin,3,14188,0x8f9d5b9f1a0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,14278,0x8f9d5b9f220,1076,EnqueueMicrotask
code-creation,Builtin,3,14368,0x8f9d5b9f6a0,1432,RunMicrotasks
code-creation,Builtin,3,14466,0x8f9d5b9fc80,2388,HasProperty
code-creation,Builtin,3,14565,0x8f9d5ba0620,1036,DeleteProperty
code-creation,Builtin,3,14665,0x8f9d5ba0a80,25,Abort
code-creation,Builtin,3,14737,0x8f9d5ba0ae0,40,AbortJS
code-creation,Builtin,3,14846,0x8f9d5ba0b60,15,EmptyFunction
code-creation,Builtin,3,14940,0x8f9d5ba0bc0,15,Illegal
code-creation,Builtin,3,15030,0x8f9d5ba0c20,15,StrictPoisonPillThrower
code-creation,Builtin,3,15119,0x8f9d5ba0c80,15,UnsupportedThrower
code-creation,Builtin,3,15208,0x8f9d5ba0ce0,21,ArrayConstructor
code-creation,Builtin,3,15296,0x8f9d5ba0d40,9,InternalArrayConstructor
code-creation,Builtin,3,15385,0x8f9d5ba0da0,15,ArrayConcat
code-creation,Builtin,3,15473,0x8f9d5ba0e00,948,ArrayIncludesSmiOrObject
code-creation,Builtin,3,15560,0x8f9d5ba1200,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,15630,0x8f9d5ba12c0,180,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,15700,0x8f9d5ba13c0,868,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,15775,0x8f9d5ba1780,104,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,15869,0x8f9d5ba1840,104,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,15961,0x8f9d5ba1900,15,ArrayPop
code-creation,Builtin,3,16052,0x8f9d5ba1960,15,ArrayPush
code-creation,Builtin,3,16140,0x8f9d5ba19c0,15,ArrayShift
code-creation,Builtin,3,16231,0x8f9d5ba1a20,15,ArraySplice
code-creation,Builtin,3,16319,0x8f9d5ba1a80,15,ArrayUnshift
code-creation,Builtin,3,16408,0x8f9d5ba1ae0,1456,CloneFastJSArray
code-creation,Builtin,3,16498,0x8f9d5ba20e0,1478,ExtractFastJSArray
code-creation,Builtin,3,16591,0x8f9d5ba2700,3044,ArrayEveryLoopContinuation
code-creation,Builtin,3,16659,0x8f9d5ba3340,142,ArrayEveryLoopEagerDeoptContinuation
code-creation,Builtin,3,16738,0x8f9d5ba3420,500,ArrayEveryLoopLazyDeoptContinuation
code-creation,Builtin,3,16833,0x8f9d5ba3660,3032,ArraySomeLoopContinuation
