v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,17204,0x1f9c5c6a0e00,948,ArrayIncludesSmiOrObject
code-creation,Builtin,3,17297,0x1f9c5c6a1200,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,17386,0x1f9c5c6a12c0,180,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,17473,0x1f9c5c6a13c0,868,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,17556,0x1f9c5c6a1780,104,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,17641,0x1f9c5c6a1840,104,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,17740,0x1f9c5c6a1900,15,ArrayPop
code-creation,Builtin,3,17840,0x1f9c5c6a1960,15,ArrayPush
code-creation,Builtin,3,17932,0x1f9c5c6a19c0,15,ArrayShift
code-creation,Builtin,3,18074,0x1f9c5c6a1a20,15,ArraySplice
code-creation,Builtin,3,18206,0x1f9c5c6a1a80,15,ArrayUnshift
code-creation,Builtin,3,18333,0x1f9c5c6a1ae0,1456,CloneFastJSArray
code-creation,Builtin,3,18425,0x1f9c5c6a20e0,1478,ExtractFastJSArray
code-creation,Builtin,3,18552,0x1f9c5c6a2700,3044,ArrayEveryLoopContinuation
code-creation,Builtin,3,18674,0x1f9c5c6a3340,142,ArrayEveryLoopEagerDeoptContinuation
code-creation,Builtin,3,18775,0x1f9c5c6a3420,500,ArrayEveryLoopLazyDeoptContinuation
code-creation,Builtin,3,18880,0x1f9c5c6a3660,3032,ArraySomeLoopContinuation
code-creation,Builtin,3,18979,0x1f9c5c6a4280,142,ArraySomeLoopEagerDeoptContinuation
code-creation,Builtin,3,19075,0x1f9c5c6a4360,496,ArraySomeLoopLazyDeoptContinuation
code-creation,Builtin,3,19173,0x1f9c5c6a45a0,5120,ArrayFilterLoopContinuation
code-creation,Builtin,3,19278,0x1f9c5c6a59e0,142,ArrayFilterLoopEagerDeoptContinuation
code-creation,Builtin,3,19358,0x1f9c5c6a5ac0,774,ArrayFilterLoopLazyDeoptContinuation
code-creation,Builtin,3,19429,0x1f9c5c6a5e20,2924,ArrayMapLoopContinuation
code-creation,Builtin,3,19525,0x1f9c5c6a69e0,142,ArrayMapLoopEagerDeoptContinuation
code-creation,Builtin,3,19620,0x1f9c5c6a6ac0,384,ArrayMapLoopLazyDeoptContinuation
code-creation,Builtin,3,19715,0x1f9c5c6a6c80,2960,ArrayReduceLoopContinuation
code-creation,Builtin,3,19837,0x1f9c5c6a7860,138,ArrayReducePreLoopEagerDeoptContinuation
code-creation,Builtin,3,19964,0x1f9c5c6a7940,142,ArrayReduceLoopEagerDeoptContinuation
code-creation,Builtin,3,20070,0x1f9c5c6a7a20,142,ArrayReduceLoopLazyDeoptContinuation
code-creation,Builtin,3,20168,0x1f9c5c6a7b00,2952,ArrayReduceRightLoopContinuation
code-creation,Builtin,3,20294,0x1f9c5c6a86e0,154,ArrayReduceRightPreLoopEagerDeoptContinuation
code-creation,Builtin,3,20378,0x1f9c5c6a87c0,142,ArrayReduceRightLoopEagerDeoptContinuation
code-creation,Builtin,3,20478,0x1f9c5c6a88a0,142,ArrayReduceRightLoopLazyDeoptContinuation
code-creation,Builtin,3,20586,0x1f9c5c6a8980,632,ArrayFindLoopContinuation
code-creation,Builtin,3,20681,0x1f9c5c6a8c40,142,ArrayFindLoopEagerDeoptContinuation
code-creation,Builtin,3,20781,0x1f9c5c6a8d20,142,ArrayFindLoopLazyDeoptContinuation
code-creation,Builtin,3,20879,0x1f9c5c6a8e00,305,ArrayFindLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,20977,0x1f9c5c6a8f80,624,ArrayFindIndexLoopContinuation
code-creation,Builtin,3,21113,0x1f9c5c6a9240,150,ArrayFindIndexLoopEagerDeoptContinuation
code-creation,Builtin,3,21214,0x1f9c5c6a9320,150,ArrayFindIndexLoopLazyDeoptContinuation
code-creation,Builtin,3,21293,0x1f9c5c6a9400,309,ArrayFindIndexLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,21375,0x1f9c5c6a9580,4108,FlattenIntoArray
code-creation,Builtin,3,21504,0x1f9c5c6aa5e0,4148,FlatMapIntoArray
code-creation,Builtin,3,21605,0x1f9c5c6ab660,15,ArrayBufferConstructor
code-creation,Builtin,3,21699,0x1f9c5c6ab6c0,15,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,21802,0x1f9c5c6ab720,15,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,21908,0x1f9c5c6ab780,15,ArrayBufferIsView
code-creation,Builtin,3,22007,0x1f9c5c6ab7e0,15,ArrayBufferPrototypeSlice
code-creation,Builtin,3,22102,0x1f9c5c6ab840,15,BigIntConstructor
code-creation,Builtin,3,22202,0x1f9c5c6ab8a0,15,BigIntAsUintN
code-creation,Builtin,3,22287,0x1f9c5c6ab900,15,BigIntAsIntN
code-creation,Builtin,3,22363,0x1f9c5c6ab960,15,BigIntPrototypeToLocaleString
